Subject	IGHV1-7	IGHV1-10	IGHV1-14	IGHV1-17	IGHV1-20	IGHV1-21	IGHV1-27	IGHV1-30	IGHV1-7UL	FracULGlobal	PreVacc	InitialVacc	BoosterVacc	BoosterResponseVacc
14195	0.0771833029532	0.133797203362	0.0558645369127	0.246554235609	0.30655107441	0.155864195776	0.136949305957	0.0587585127807	42.42677695	0.02351451879	0.0	1.83	3.5	5.16
14197	0.0587798080887	0.220134614864	0.145351585441	0.131641814324	0.25766539182	0.17421468031	0.195606952608	0.0204627962904	43.75318868	0.01725329221	3.16	3.16	2.5	5.83
14199	0.085002229323	0.110184290704	0.165833766813	0.278522949642	0.299184439325	0.154897698843	0.103855490327	0.10492061133	42.21823291	0.02194694362	5.83	3.83	4.16	4.16
14201	0.0629262037346	0.114163753579	0.080787675444	0.246937305672	0.30118221582	0.181548298698	0.166079364801	0.0538725033815	33.50657829	0.01429378751	5.5	6.83	5.83	2.5
14203	0.102301770999	0.0534503946862	0.0942007132248	0.282063074406	0.285893076593	0.146678528616	0.107571793693	0.0894697557997	45.92128933	0.03131575498	4.66	3.5	3.16	3.83
14207	0.0714619765229	0.27195806787	0.247943145557	0.13900990384	0.139015300047	0.168653070622	0.11975983279	0.0354764671389	39.07805202	0.01867176543	5.5	5.5	3.83	3.16
14209	0.0649062912513	0.198508482499	0.144298475213	0.262684993841	0.262789929514	0.0976032930722	0.0913083451287	0.0690142843685	29.91001822	0.0136189373	3.83	5.16	2.5	5.83
14213	0.0840390325977	0.1823127622	0.253287072889	0.214439721212	0.210091313771	0.111569660874	0.0714492648656	0.0837117181363	30.28179136	0.01623000717	3.83	5.16	0.0	2.16
14215	0.147098901967	0.0593438956474	0.079438294889	0.258114286279	0.274478631803	0.174852130895	0.132100926219	0.0679852279011	51.87827049	0.05428703909	3.5	4.5	2.5	6.83
14217	0.110204333396	0.115586085496	0.0612751087145	0.0724964829414	0.214614119952	0.340750195129	0.261212477789	0.00759044119217	50.2006339	0.04087401599	2.5	2.5	0.0	2.5
14219	0.122539251872	0.054468843774	0.0832501666154	0.30006326309	0.28858118143	0.131375786137	0.0992401663109	0.0973321244558	40.2342778	0.0354967795	2.5	3.16	0.0	6.83
14221	0.0763123938993	0.0618768538936	0.0936774404626	0.286490718222	0.312701038431	0.19010911786	0.119295182422	0.103489200887	17.7562263	0.009064284589	0.0	2.83	0.0	7.5
14223	0.052602908473	0.102929364992	0.0576943611774	0.265481343463	0.283677483553	0.173104749289	0.156230220325	0.0859604352341	30.20010602	0.01107820576	4.16	6.16	2.83	4.5
